Legal Entity Name,"Organization
Marketing Name","Contract
Number","Organization
Type",Plan Type,"Contract
Effective
Date",Tax Status,"Parent
Organization","CMS
Region
Responsible",Enrollment,"Legal Entity
Street","Legal Entity
Street2","Legal Entity
City","Legal
Entity
State
Code","Legal
Entity
Zip","Directory
Contact Title","Directory
Contact Last
Name","Directory
Contact
First
Name","Directory
Contact
Middle
Initial","Directory
Contact
Phone","Directory
Contact
Phone
Ext","Directory
Contact Fax",Directory Contact Email,"Directory
Contact St
Address","Directory
Contact St
Address2","Directory
Contact City","Directory
Contact
State","Directory
Contact
Zip","Directory
Contact
Last
Update",contractId,planId,pbpStatus,lastUpdatedAt,retail_pharmacy_network,mail_order_1mo_supply,mail_order_3mo_supply,insulin_retail_1mo,insulin_mail_1mo,moop_lower,moop_intermediate,moop_mandatory
"1818 WESTERN, LLC",Heritage PACE,H9411,"National
PACE",National PACE,01/01/2025,For Profit,1818 WESTERN LLC,"San
Francisco",*,"1818 S. Western
Avenue Suite 100", ,Los Angeles,CA,90006,CEO,Ko,David, ,1-888-804-1118, , ,ahhc.ceo@gmail.com,"1818 S. Western
Ave",Suite 100,Los Angeles,CA,90006,09/30/2024,H9411,001,Submitted,11/5/2024 10:47:53 PM EST,,,,,,,,
"1818 WESTERN, LLC",Heritage PACE,H9411,"National
PACE",National PACE,01/01/2025,For Profit,1818 WESTERN LLC,"San
Francisco",*,"1818 S. Western
Avenue Suite 100", ,Los Angeles,CA,90006,CEO,Ko,David, ,1-888-804-1118, , ,ahhc.ceo@gmail.com,"1818 S. Western
Ave",Suite 100,Los Angeles,CA,90006,09/30/2024,H9411,004,Submitted,11/7/2024 1:12:02 PM EST,,,,,,,,
"A&D CHARITABLE
FOUNDATION, INC.",Great Lakes PACE,H9185,"National
PACE",National PACE,05/01/2015,Not-for-Profit/Non-Profit,"A&D Charitable
Foundation, Inc.",Chicago,189,"3378 Fashion
Square Blvd", ,Saginaw,MI,48603,Program Director,Benjamin,David, ,1-989-272-7610, , ,dbenjamin@greatlakespace.org,"3378 Fashion
Square Blvd", ,Saginaw,MI,48603,03/14/2017,H9185,001,Submitted,5/29/2024 7:18:55 AM EDT,,,,,,,,
"A&D CHARITABLE
FOUNDATION, INC.",Great Lakes PACE,H9185,"National
PACE",National PACE,05/01/2015,Not-for-Profit/Non-Profit,"A&D Charitable
Foundation, Inc.",Chicago,189,"3378 Fashion
Square Blvd", ,Saginaw,MI,48603,Program Director,Benjamin,David, ,1-989-272-7610, , ,dbenjamin@greatlakespace.org,"3378 Fashion
Square Blvd", ,Saginaw,MI,48603,03/14/2017,H9185,002,Submitted,5/29/2024 7:18:56 AM EDT,,,,,,,,
"ABSOLUTE TOTAL CARE,
INC.","Wellcare Prime by
Absolute Total Care",H1723,Demo,"Medicare-Medicaid
Plan
HMO/HMOPOS",02/01/2015,For Profit,Centene Corporation,Atlanta,2325,7700 Forsyth, ,St. Louis,MO,63105, ,Services,Provider, ,1-866-296-8731, , ,CorporateMedicareComplianceDept@CENTENE.COM,"4349 Easton
Parkway",Suite 200,Columbus,OH,43219,06/25/2024,H1723,001,Submitted,5/31/2024 1:19:44 PM EDT,1,,,,,,,
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,001,Submitted,8/6/2024 2:26:33 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,002,Submitted,8/6/2024 2:26:34 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,003,Submitted,8/6/2024 2:26:33 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,004,Submitted,8/6/2024 2:26:33 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,006,Submitted,8/20/2024 5:03:23 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
